id	japanese	chinese	partOfSpeech	reading	level	category	lesson
52	中	裡面；中間	名詞	なか / naka	N5	方位	4
53	外	外面	名詞	そと / soto	N5	方位	4
54	上	上面	名詞	うえ / ue	N5	方位	4
55	下	下面	名詞	した / shita	N5	方位	4
56	近く	附近	名詞	ちかく / chikaku	N5	方位	4
57	行く	去	動詞	いく / iku	N5	動作	5
58	来る	來	動詞	くる / kuru	N5	動作	5
59	帰る	回去；回家	動詞	かえる / kaeru	N5	動作	5
60	見る	看	動詞	みる / miru	N5	動作	5
61	聞く	聽；詢問	動詞	きく / kiku	N5	動作	5
62	話す	說；交談	動詞	はなす / hanasu	N5	動作	5
63	読む	讀	動詞	よむ / yomu	N5	動作	5
64	書く	寫	動詞	かく / kaku	N5	動作	5
65	食べる	吃	動詞	たべる / taberu	N5	飲食	5
66	飲む	喝	動詞	のむ / nomu	N5	飲食	5
67	買う	買	動詞	かう / kau	N5	購物	5
68	売る	賣	動詞	うる / uru	N5	購物	5
69	する	做	動詞	する / suru	N5	動作	5
70	勉強する	學習	動詞	べんきょうする / benkyou suru	N5	學習	5
71	働く	工作	動詞	はたらく / hataraku	N5	工作	5
72	休む	休息；請假	動詞	やすむ / yasumu	N5	生活	5
73	寝る	睡覺	動詞	ねる / neru	N5	生活	5
74	起きる	起床	動詞	おきる / okiru	N5	生活	5
75	会う	見面	動詞	あう / au	N5	人物	5
76	待つ	等待	動詞	まつ / matsu	N5	動作	5
77	分かる	明白；懂	動詞	わかる / wakaru	N5	溝通	5
78	知る	知道	動詞	しる / shiru	N5	溝通	5
79	使う	使用	動詞	つかう / tsukau	N5	動作	5
80	作る	製作；做	動詞	つくる / tsukuru	N5	動作	5
81	入る	進入	動詞	はいる / hairu	N5	動作	5
82	出る	出去；出現	動詞	でる / deru	N5	動作	5
83	乗る	搭乘	動詞	のる / noru	N5	交通	6
84	降りる	下車	動詞	おりる / oriru	N5	交通	6
85	歩く	走路	動詞	あるく / aruku	N5	交通	6
86	電車	電車	名詞	でんしゃ / densha	N5	交通	6
87	地下鉄	地下鐵	名詞	ちかてつ / chikatetsu	N5	交通	6
88	バス	公車	名詞	バス / basu	N5	交通	6
89	タクシー	計程車	名詞	タクシー / takushii	N5	交通	6
90	車	車；汽車	名詞	くるま / kuruma	N5	交通	6
91	自転車	腳踏車	名詞	じてんしゃ / jitensha	N5	交通	6
92	切符	車票；票券	名詞	きっぷ / kippu	N5	交通	6
93	時間	時間	名詞	じかん / jikan	N5	時間	7
94	今日	今天	名詞	きょう / kyou	N5	時間	7
95	明日	明天	名詞	あした / ashita	N5	時間	7
96	昨日	昨天	名詞	きのう / kinou	N5	時間	7
97	朝	早上	名詞	あさ / asa	N5	時間	7
98	昼	中午；白天	名詞	ひる / hiru	N5	時間	7
99	夜	晚上；夜晚	名詞	よる / yoru	N5	時間	7
100	今	現在	名詞	いま / ima	N5	時間	7
101	毎日	每天	名詞	まいにち / mainichi	N5	時間	7
102	毎週	每週	名詞	まいしゅう / maishuu	N5	時間	7
103	月曜日	星期一	名詞	げつようび / getsuyoubi	N5	星期	7
104	火曜日	星期二	名詞	かようび / kayoubi	N5	星期	7
105	水曜日	星期三	名詞	すいようび / suiyoubi	N5	星期	7
106	木曜日	星期四	名詞	もくようび / mokuyoubi	N5	星期	7
107	金曜日	星期五	名詞	きんようび / kinyoubi	N5	星期	7
108	土曜日	星期六	名詞	どようび / doyoubi	N5	星期	7
109	日曜日	星期日	名詞	にちようび / nichiyoubi	N5	星期	7
110	一	一	數字	いち / ichi	N5	數字	8
111	二	二	數字	に / ni	N5	數字	8
112	三	三	數字	さん / san	N5	數字	8
113	四	四	數字	よん・し / yon・shi	N5	數字	8
114	五	五	數字	ご / go	N5	數字	8
115	六	六	數字	ろく / roku	N5	數字	8
116	七	七	數字	なな・しち / nana・shichi	N5	數字	8
117	八	八	數字	はち / hachi	N5	數字	8
118	九	九	數字	きゅう・く / kyuu・ku	N5	數字	8
119	十	十	數字	じゅう / juu	N5	數字	8
120	百	百	數字	ひゃく / hyaku	N5	數字	8
121	千	千	數字	せん / sen	N5	數字	8
122	円	日圓	名詞	えん / en	N5	購物	8
123	いくら	多少錢	疑問詞	いくら / ikura	N5	購物	8
124	これ	這個	代名詞	これ / kore	N5	指示	9
125	それ	那個（靠近對方）	代名詞	それ / sore	N5	指示	9
126	あれ	那個（離雙方較遠）	代名詞	あれ / are	N5	指示	9
127	どれ	哪一個	疑問詞	どれ / dore	N5	指示	9
128	この	這個～	連體詞	この / kono	N5	指示	9
129	その	那個～	連體詞	その / sono	N5	指示	9
130	あの	那個～	連體詞	あの / ano	N5	指示	9
131	どの	哪個～	連體詞	どの / dono	N5	指示	9
132	何	什麼	疑問詞	なに・なん / nani・nan	N5	疑問詞	9
133	誰	誰	疑問詞	だれ / dare	N5	疑問詞	9
134	いつ	什麼時候	疑問詞	いつ / itsu	N5	疑問詞	9
135	どう	如何；怎樣	疑問詞	どう / dou	N5	疑問詞	9
136	どうして	為什麼	疑問詞	どうして / doushite	N5	疑問詞	9
137	大きい	大的	形容詞	おおきい / ookii	N5	形容詞	10
138	小さい	小的	形容詞	ちいさい / chiisai	N5	形容詞	10
139	新しい	新的	形容詞	あたらしい / atarashii	N5	形容詞	10
140	古い	舊的；古老的	形容詞	ふるい / furui	N5	形容詞	10
141	高い	高的；貴的	形容詞	たかい / takai	N5	形容詞	10
142	安い	便宜的	形容詞	やすい / yasui	N5	形容詞	10
143	長い	長的	形容詞	ながい / nagai	N5	形容詞	10
144	短い	短的	形容詞	みじかい / mijikai	N5	形容詞	10
145	早い	早的	形容詞	はやい / hayai	N5	形容詞	10
146	遅い	晚的；慢的	形容詞	おそい / osoi	N5	形容詞	10
147	暑い	熱的（天氣）	形容詞	あつい / atsui	N5	天氣	10
148	寒い	冷的（天氣）	形容詞	さむい / samui	N5	天氣	10
149	熱い	熱的（物品）	形容詞	あつい / atsui	N5	形容詞	10
150	冷たい	冰冷的	形容詞	つめたい / tsumetai	N5	形容詞	10
151	美味しい	好吃的	形容詞	おいしい / oishii	N5	飲食	10
152	楽しい	快樂的；有趣的	形容詞	たのしい / tanoshii	N5	感受	10
153	忙しい	忙碌的	形容詞	いそがしい / isogashii	N5	生活	10
154	難しい	困難的	形容詞	むずかしい / muzukashii	N5	學習	10
155	易しい	簡單的；容易的	形容詞	やさしい / yasashii	N5	學習	10
156	面白い	有趣的	形容詞	おもしろい / omoshiroi	N5	感受	10
157	いい	好的	形容詞	いい / ii	N5	形容詞	10
158	悪い	不好的	形容詞	わるい / warui	N5	形容詞	10
159	好き	喜歡	形容動詞	すき / suki	N5	感受	11
160	嫌い	討厭	形容動詞	きらい / kirai	N5	感受	11
161	上手	擅長	形容動詞	じょうず / jouzu	N5	能力	11
162	下手	不擅長	形容動詞	へた / heta	N5	能力	11
163	元気	有精神；健康	形容動詞	げんき / genki	N5	健康	11
164	静か	安靜的	形容動詞	しずか / shizuka	N5	形容詞	11
165	きれい	漂亮；乾淨	形容動詞	きれい / kirei	N5	形容詞	11
166	便利	方便	形容動詞	べんり / benri	N5	生活	11
167	大丈夫	沒問題；不要緊	形容動詞	だいじょうぶ / daijoubu	N5	健康	11
168	水	水	名詞	みず / mizu	N5	飲食	12
169	お茶	茶	名詞	おちゃ / ocha	N5	飲食	12
170	コーヒー	咖啡	名詞	コーヒー / koohii	N5	飲食	12
171	牛乳	牛奶	名詞	ぎゅうにゅう / gyuunyuu	N5	飲食	12
172	ご飯	飯；餐	名詞	ごはん / gohan	N5	飲食	12
173	パン	麵包	名詞	パン / pan	N5	飲食	12
174	肉	肉	名詞	にく / niku	N5	飲食	12
175	魚	魚	名詞	さかな / sakana	N5	飲食	12
176	野菜	蔬菜	名詞	やさい / yasai	N5	飲食	12
177	果物	水果	名詞	くだもの / kudamono	N5	飲食	12
178	卵	蛋	名詞	たまご / tamago	N5	飲食	12
179	料理	料理	名詞	りょうり / ryouri	N5	飲食	12
180	朝ご飯	早餐	名詞	あさごはん / asagohan	N5	飲食	12
181	昼ご飯	午餐	名詞	ひるごはん / hirugohan	N5	飲食	12
182	晩ご飯	晚餐	名詞	ばんごはん / bangohan	N5	飲食	12
183	天気	天氣	名詞	てんき / tenki	N5	天氣	13
184	雨	雨	名詞	あめ / ame	N5	天氣	13
185	雪	雪	名詞	ゆき / yuki	N5	天氣	13
186	風	風	名詞	かぜ / kaze	N5	天氣	13
187	晴れ	晴天	名詞	はれ / hare	N5	天氣	13
188	曇り	陰天	名詞	くもり / kumori	N5	天氣	13
189	春	春天	名詞	はる / haru	N5	季節	13
190	夏	夏天	名詞	なつ / natsu	N5	季節	13
191	秋	秋天	名詞	あき / aki	N5	季節	13
192	冬	冬天	名詞	ふゆ / fuyu	N5	季節	13
193	服	衣服	名詞	ふく / fuku	N5	購物	14
194	靴	鞋子	名詞	くつ / kutsu	N5	購物	14
195	帽子	帽子	名詞	ぼうし / boushi	N5	購物	14
196	鞄	包包	名詞	かばん / kaban	N5	購物	14
197	時計	時鐘；手錶	名詞	とけい / tokei	N5	生活	14
198	傘	雨傘	名詞	かさ / kasa	N5	生活	14
199	本	書	名詞	ほん / hon	N5	學習	14
200	辞書	字典	名詞	じしょ / jisho	N5	學習	14
201	鉛筆	鉛筆	名詞	えんぴつ / enpitsu	N5	學習	14
202	写真	照片	名詞	しゃしん / shashin	N5	生活	14
203	音楽	音樂	名詞	おんがく / ongaku	N5	興趣	15
204	映画	電影	名詞	えいが / eiga	N5	興趣	15
205	旅行	旅行	名詞	りょこう / ryokou	N5	旅行	15
206	買い物	購物	名詞	かいもの / kaimono	N5	購物	15
207	スポーツ	運動	名詞	スポーツ / supootsu	N5	興趣	15
208	野球	棒球	名詞	やきゅう / yakyuu	N5	興趣	15
209	サッカー	足球	名詞	サッカー / sakkaa	N5	興趣	15
210	猫	貓	名詞	ねこ / neko	N5	動物	15
211	犬	狗	名詞	いぬ / inu	N5	動物	15
212	花	花	名詞	はな / hana	N5	自然	15
213	山	山	名詞	やま / yama	N5	自然	15
214	川	河川	名詞	かわ / kawa	N5	自然	15
215	海	海	名詞	うみ / umi	N5	自然	15
216	温泉	溫泉	名詞	おんせん / onsen	N4	旅行	16
217	神社	神社	名詞	じんじゃ / jinja	N4	旅行	16
218	寺	寺廟	名詞	てら / tera	N5	旅行	16
219	旅館	日式旅館	名詞	りょかん / ryokan	N4	旅行	16
220	ホテル	飯店	名詞	ホテル / hoteru	N5	旅行	16
221	予約	預約	名詞	よやく / yoyaku	N4	旅行	16
222	入口	入口	名詞	いりぐち / iriguchi	N5	場所	16
223	出口	出口	名詞	でぐち / deguchi	N5	場所	16
224	写真を撮る	拍照	片語	しゃしんをとる / shashin o toru	N5	旅行	16
225	手伝う	幫忙	動詞	てつだう / tetsudau	N4	動作	17
226	始める	開始	動詞	はじめる / hajimeru	N4	動作	17
227	終わる	結束	動詞	おわる / owaru	N5	動作	17
228	忘れる	忘記	動詞	わすれる / wasureru	N4	生活	17
229	なくす	弄丟	動詞	なくす / nakusu	N4	生活	17
230	見つける	找到；發現	動詞	みつける / mitsukeru	N4	動作	17
231	教える	教；告訴	動詞	おしえる / oshieru	N5	溝通	17
232	借りる	借入	動詞	かりる / kariru	N5	生活	17
233	貸す	借出	動詞	かす / kasu	N5	生活	17
234	開ける	打開	動詞	あける / akeru	N5	動作	17
235	閉める	關閉	動詞	しめる / shimeru	N5	動作	17
236	持つ	拿；持有	動詞	もつ / motsu	N5	動作	17
237	必要	需要；必要	形容動詞	ひつよう / hitsuyou	N4	生活	18
238	心配	擔心	形容動詞	しんぱい / shinpai	N4	感受	18
239	大切	重要；珍惜	形容動詞	たいせつ / taisetsu	N4	感受	18
240	有名	有名	形容動詞	ゆうめい / yuumei	N5	形容詞	18
241	親切	親切	形容動詞	しんせつ / shinsetsu	N4	人物	18
242	簡単	簡單	形容動詞	かんたん / kantan	N4	形容詞	18
243	安全	安全	形容動詞	あんぜん / anzen	N4	生活	18
244	危険	危險	形容動詞	きけん / kiken	N4	生活	18
245	本当	真的；真正	名詞	ほんとう / hontou	N4	溝通	18
246	まだ	還；尚未	副詞	まだ / mada	N5	副詞	19
247	もう	已經；再	副詞	もう / mou	N5	副詞	19
248	とても	非常	副詞	とても / totemo	N5	副詞	19
249	少し	一點；稍微	副詞	すこし / sukoshi	N5	副詞	19
250	たくさん	很多	副詞	たくさん / takusan	N5	副詞	19
251	一緒に	一起	副詞	いっしょに / issho ni	N5	副詞	19
252	ゆっくり	慢慢地；悠閒地	副詞	ゆっくり / yukkuri	N5	副詞	19
253	すぐ	馬上；很近	副詞	すぐ / sugu	N5	副詞	19
254	よく	常常；很好地	副詞	よく / yoku	N5	副詞	19
255	時々	有時候	副詞	ときどき / tokidoki	N5	副詞	19
256	いつも	總是	副詞	いつも / itsumo	N5	副詞	19
257	多分	大概；可能	副詞	たぶん / tabun	N4	副詞	19
258	もちろん	當然	副詞	もちろん / mochiron	N4	副詞	19
259	本当に	真的；非常	副詞	ほんとうに / hontou ni	N4	副詞	19
